Year,SERIES,Reference area,Sex,UNIT_MEASURE,Time period details,Value
2015,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,,Percent,2021,17.7
2016,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,,Percent,2021,17.5
2019,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,,Percent,2021,18.5
2020,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,,Percent,2021,18.8
2021,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,,Percent,2021,19.1
2018,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,Female,Percent,2018,18.1
2017,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,Male,Percent,2017,18.1
