Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2015,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,2020,392
2016,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,2020,315
2017,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,2020,236
2018,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,2020,236
2019,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,2020,392
2020,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,2020,392
