Year,SERIES,Reference area,Age,UNIT_MEASURE,Time period details,Value
2015,Annual growth rate of real GDP per employed person [8.2.1],,15 years old and over,Percent,2020,4.0
2016,Annual growth rate of real GDP per employed person [8.2.1],,15 years old and over,Percent,2020,3.1
2017,Annual growth rate of real GDP per employed person [8.2.1],,15 years old and over,Percent,2020,2.2
2018,Annual growth rate of real GDP per employed person [8.2.1],,15 years old and over,Percent,2020,1.7
2019,Annual growth rate of real GDP per employed person [8.2.1],,15 years old and over,Percent,2020,1.2
2020,Annual growth rate of real GDP per employed person [8.2.1],,15 years old and over,Percent,2020,4.2
