Year,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,Taux de prévalence du VIH/SIDA,,PT,2021,0.7000000000000001
2016,Taux de prévalence du VIH/SIDA,,PT,2021,0.7000000000000001
2017,Taux de prévalence du VIH/SIDA,,PT,2021,0.5
2018,Taux de prévalence du VIH/SIDA,,PT,2021,0.5
2019,Taux de prévalence du VIH/SIDA,,PT,2021,0.5
2020,Taux de prévalence du VIH/SIDA,,PT,2021,0.5
2021,Taux de prévalence du VIH/SIDA,,PT,2021,0.5
