Year,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2017,_L_SN_0110401_1,,XOF,2019,1459
2018,_L_SN_0110401_1,,XOF,2019,1063
2019,_L_SN_0110401_1,,XOF,2019,1382
