Year,SERIES,Reference area,Age,UNIT_MEASURE,Time period details,Value
2015,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 years old and over,Percent,2021,15.7
2016,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 years old and over,Percent,2021,16.8
2017,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 years old and over,Percent,2021,15.9
2018,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 years old and over,Percent,2021,15.5
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 years old and over,Percent,2021,15.2
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 years old and over,Percent,2021,22.3
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 years old and over,Percent,2021,23.6
