Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,AGE,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2019,A,0,SE_DEV_ONTRKWB,,Y0T5,ISCED11_01,PT,2020,10.11
2020,A,0,SE_DEV_ONTRKWB,,Y0T5,ISCED11_01,PT,2020,15.2
