Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,SL_EMP_PCAP,,Y_GE15,PT,2020,4.0
2016,SL_EMP_PCAP,,Y_GE15,PT,2020,3.1
2017,SL_EMP_PCAP,,Y_GE15,PT,2020,2.2
2018,SL_EMP_PCAP,,Y_GE15,PT,2020,1.7
2019,SL_EMP_PCAP,,Y_GE15,PT,2020,1.2
2020,SL_EMP_PCAP,,Y_GE15,PT,2020,4.2
