Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,2019,80
2016,A,0,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,2019,72
2017,A,0,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,2019,78
2018,A,0,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,2019,68
2019,A,0,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,2019,71
