Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Prevalence of moderate or severe food insecurity in the population [2.1.2],,Percent,2021,14.0
2016,Prevalence of moderate or severe food insecurity in the population [2.1.2],,Percent,2021,23.0
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],,Percent,2021,25.0
2018,Prevalence of moderate or severe food insecurity in the population [2.1.2],,Percent,2021,15.6
2019,Prevalence of moderate or severe food insecurity in the population [2.1.2],,Percent,2021,16.47
2020,Prevalence of moderate or severe food insecurity in the population [2.1.2],,Percent,2021,23.1
2021,Prevalence of moderate or severe food insecurity in the population [2.1.2],,Percent,2021,17.4
