Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,SL_TLF_UEM,,Y_GE15,PT,2021,15.7
2016,SL_TLF_UEM,,Y_GE15,PT,2021,16.8
2017,SL_TLF_UEM,,Y_GE15,PT,2021,15.9
2018,SL_TLF_UEM,,Y_GE15,PT,2021,15.5
2019,SL_TLF_UEM,,Y_GE15,PT,2021,15.2
2020,SL_TLF_UEM,,Y_GE15,PT,2021,22.3
2021,SL_TLF_UEM,,Y_GE15,PT,2021,23.6
