Year,SERIES,Reference area,Age,UNIT_MEASURE,Time period details,Value
2015,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",2019,59
2016,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",2019,51
2017,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",2019,56
2018,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",2019,51
2019,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",2019,37
