Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2016,Average hourly earnings [8.5.1],,Franc CFA FCFA,2021,658.6
2017,Average hourly earnings [8.5.1],,Franc CFA FCFA,2021,555.0
2018,Average hourly earnings [8.5.1],,Franc CFA FCFA,2021,460.9
2019,Average hourly earnings [8.5.1],,Franc CFA FCFA,2021,517.7
2020,Average hourly earnings [8.5.1],,Franc CFA FCFA,2021,550.6
2021,Average hourly earnings [8.5.1],,Franc CFA FCFA,2021,624.2
