Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Area of agricultural land under sustainable land management (SLM),,Hectares,2020,1950592
2016,Area of agricultural land under sustainable land management (SLM),,Hectares,2020,500472
2017,Area of agricultural land under sustainable land management (SLM),,Hectares,2020,556052
2018,Area of agricultural land under sustainable land management (SLM),,Hectares,2020,405491
2019,Area of agricultural land under sustainable land management (SLM),,Hectares,2020,475441
2020,Area of agricultural land under sustainable land management (SLM),,Hectares,2020,441771
