Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Coverage of essential health services (Proportion of the target population receiving coverage of essential health services).,,Percent,2020,46.8
2016,Coverage of essential health services (Proportion of the target population receiving coverage of essential health services).,,Percent,2020,49.4
2017,Coverage of essential health services (Proportion of the target population receiving coverage of essential health services).,,Percent,2020,49.64
2018,Coverage of essential health services (Proportion of the target population receiving coverage of essential health services).,,Percent,2020,49.0
2019,Coverage of essential health services (Proportion of the target population receiving coverage of essential health services).,,Percent,2020,48.0
2020,Coverage of essential health services (Proportion of the target population receiving coverage of essential health services).,,Percent,2020,53.2
