Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,SH_STA_STNT,,Y0T4,PT,2019,20.5
2016,A,0,SH_STA_STNT,,Y0T4,PT,2019,17.0
2017,A,0,SH_STA_STNT,,Y0T4,PT,2019,16.5
2018,A,0,SH_STA_STNT,,Y0T4,PT,2019,18.8
2019,A,0,SH_STA_STNT,,Y0T4,PT,2019,17.9
