Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
2015,DC_ODA_TOTL,,,franc cfa FCFA,2020,65.26
2016,DC_ODA_TOTL,,,franc cfa FCFA,2020,118.6
2017,DC_ODA_TOTL,,,franc cfa FCFA,2020,117.56
2018,DC_ODA_TOTL,,,franc cfa FCFA,2020,73.57
2019,DC_ODA_TOTL,,,franc cfa FCFA,2020,83.94
2020,DC_ODA_TOTL,,,franc cfa FCFA,2020,193.91
2015,DC_ODA_TOTL,,volume des dons reçus pays de l'OCDE (Programmes),franc cfa FCFA,2020,19.29
2016,DC_ODA_TOTL,,volume des dons reçus pays de l'OCDE (Programmes),franc cfa FCFA,2020,19.38
2017,DC_ODA_TOTL,,volume des dons reçus pays de l'OCDE (Programmes),franc cfa FCFA,2020,10.24
2018,DC_ODA_TOTL,,volume des dons reçus pays de l'OCDE (Programmes),franc cfa FCFA,2020,14.65
2019,DC_ODA_TOTL,,volume des dons reçus pays de l'OCDE (Programmes),franc cfa FCFA,2020,6.2
2020,DC_ODA_TOTL,,volume des dons reçus pays de l'OCDE (Programmes),franc cfa FCFA,2020,151.09
2015,DC_ODA_TOTL,,volume des dons reçus pays de l'OCDE (Projets),franc cfa FCFA,2021,45.97
2016,DC_ODA_TOTL,,volume des dons reçus pays de l'OCDE (Projets),franc cfa FCFA,2021,99.22
2017,DC_ODA_TOTL,,volume des dons reçus pays de l'OCDE (Projets),franc cfa FCFA,2021,107.32
2018,DC_ODA_TOTL,,volume des dons reçus pays de l'OCDE (Projets),franc cfa FCFA,2021,58.91
2019,DC_ODA_TOTL,,volume des dons reçus pays de l'OCDE (Projets),franc cfa FCFA,2021,77.74
2020,DC_ODA_TOTL,,volume des dons reçus pays de l'OCDE (Projets),franc cfa FCFA,2021,42.82
2021,DC_ODA_TOTL,,volume des dons reçus pays de l'OCDE (Projets),franc cfa FCFA,2021,65.29
