Year,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,116.5
2016,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,126.4
2017,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,131.3
2018,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,140.4
2019,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,152.0
2020,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,139.6
2021,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,135.1
