Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,2020,392
2016,A,0,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,2020,392
2017,A,0,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,2020,392
2018,A,0,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,2020,392
2019,A,0,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,2020,392
2020,A,0,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,2020,392
