Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,2019,80
2016,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,2019,72
2017,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,2019,78
2018,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,2019,68
2019,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,2019,71
