Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2018,Proportion de femmes cadres dirigeants,,,PT,2020,33.33
2019,Proportion de femmes cadres dirigeants,,,PT,2020,33.33
2020,Proportion de femmes cadres dirigeants,,,PT,2020,34.0
2018,Proportion de femmes cadres dirigeants,,F,PT,2020,33.33
2019,Proportion de femmes cadres dirigeants,,F,PT,2020,33.33
2020,Proportion de femmes cadres dirigeants,,F,PT,2020,34.0
2015,Proportion de femmes occupant une fonction ministérielle,,,PT,2021,21.0
2018,Proportion de femmes occupant une fonction ministérielle,,,PT,2021,25.0
2019,Proportion de femmes occupant une fonction ministérielle,,,PT,2021,25.0
2020,Proportion de femmes occupant une fonction ministérielle,,,PT,2021,21.21
2021,Proportion de femmes occupant une fonction ministérielle,,,PT,2021,21.21
2015,Proportion de femmes occupant une fonction ministérielle,,F,PT,2021,21.0
2018,Proportion de femmes occupant une fonction ministérielle,,F,PT,2021,25.0
2019,Proportion de femmes occupant une fonction ministérielle,,F,PT,2021,25.0
2020,Proportion de femmes occupant une fonction ministérielle,,F,PT,2021,21.21
2021,Proportion de femmes occupant une fonction ministérielle,,F,PT,2021,21.21
