Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2015,Taux brut de préscolarisation,,ISCED11_02,PT,2021,16.7
2016,Taux brut de préscolarisation,,ISCED11_02,PT,2021,17.2
2017,Taux brut de préscolarisation,,ISCED11_02,PT,2021,17.4
2018,Taux brut de préscolarisation,,ISCED11_02,PT,2021,17.8
2019,Taux brut de préscolarisation,,ISCED11_02,PT,2021,17.6
2020,Taux brut de préscolarisation,,ISCED11_02,PT,2021,17.7
2021,Taux brut de préscolarisation,,ISCED11_02,PT,2021,17.7
