Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,AG_PRD_FIESMS,,PT,2021,14.0
2016,A,0,AG_PRD_FIESMS,,PT,2021,23.0
2017,A,0,AG_PRD_FIESMS,,PT,2021,25.0
2018,A,0,AG_PRD_FIESMS,,PT,2021,15.6
2019,A,0,AG_PRD_FIESMS,,PT,2021,16.47
2020,A,0,AG_PRD_FIESMS,,PT,2021,23.1
2021,A,0,AG_PRD_FIESMS,,PT,2021,17.4
