Year,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,AG_PRD_ORTIND,,IX,2020,0.79
2016,AG_PRD_ORTIND,,IX,2020,0.75
2017,AG_PRD_ORTIND,,IX,2020,0.45
2018,AG_PRD_ORTIND,,IX,2020,0.71
2019,AG_PRD_ORTIND,,IX,2020,0.68
2020,AG_PRD_ORTIND,,IX,2020,0.41
