Year,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,ER_MRN_MARIN,,PT,2021,1.79
2016,ER_MRN_MARIN,,PT,2021,1.9
2017,ER_MRN_MARIN,,PT,2021,1.9
2018,ER_MRN_MARIN,,PT,2021,2.44
2019,ER_MRN_MARIN,,PT,2021,2.48
2020,ER_MRN_MARIN,,PT,2021,2.88
2021,ER_MRN_MARIN,,PT,2021,2.88
