Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,SH_STA_MALR,,PER_1000_POP,2019,34.5
2016,A,0,SH_STA_MALR,,PER_1000_POP,2019,45.65
2017,A,0,SH_STA_MALR,,PER_1000_POP,2019,52.3
2019,A,0,SH_STA_MALR,,PER_1000_POP,2019,21.9
