Year,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,Couverture des services de santé essentiels (Proportion de la population cible bénéficiant de la couverture des services de santé essentiels),,PT,2020,46.8
2016,Couverture des services de santé essentiels (Proportion de la population cible bénéficiant de la couverture des services de santé essentiels),,PT,2020,49.4
2017,Couverture des services de santé essentiels (Proportion de la population cible bénéficiant de la couverture des services de santé essentiels),,PT,2020,49.64
2018,Couverture des services de santé essentiels (Proportion de la population cible bénéficiant de la couverture des services de santé essentiels),,PT,2020,49.0
2019,Couverture des services de santé essentiels (Proportion de la population cible bénéficiant de la couverture des services de santé essentiels),,PT,2020,48.0
2020,Couverture des services de santé essentiels (Proportion de la population cible bénéficiant de la couverture des services de santé essentiels),,PT,2020,53.2
