Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,"Proportion d’adultes (15 ans et plus) ayant un compte dans une banque, dans une autre institution financière, ou avec un fournisseur de service mobile et de transfert d’argent (Taux global d'utilisation des services financiers (corrigé de la multi-bancarité))",,Y_GE15,PT,2020,52.4
2016,"Proportion d’adultes (15 ans et plus) ayant un compte dans une banque, dans une autre institution financière, ou avec un fournisseur de service mobile et de transfert d’argent (Taux global d'utilisation des services financiers (corrigé de la multi-bancarité))",,Y_GE15,PT,2020,61.9
2017,"Proportion d’adultes (15 ans et plus) ayant un compte dans une banque, dans une autre institution financière, ou avec un fournisseur de service mobile et de transfert d’argent (Taux global d'utilisation des services financiers (corrigé de la multi-bancarité))",,Y_GE15,PT,2020,65.9
2018,"Proportion d’adultes (15 ans et plus) ayant un compte dans une banque, dans une autre institution financière, ou avec un fournisseur de service mobile et de transfert d’argent (Taux global d'utilisation des services financiers (corrigé de la multi-bancarité))",,Y_GE15,PT,2020,67.0
2019,"Proportion d’adultes (15 ans et plus) ayant un compte dans une banque, dans une autre institution financière, ou avec un fournisseur de service mobile et de transfert d’argent (Taux global d'utilisation des services financiers (corrigé de la multi-bancarité))",,Y_GE15,PT,2020,70.0
2020,"Proportion d’adultes (15 ans et plus) ayant un compte dans une banque, dans une autre institution financière, ou avec un fournisseur de service mobile et de transfert d’argent (Taux global d'utilisation des services financiers (corrigé de la multi-bancarité))",,Y_GE15,PT,2020,75.6
