Year,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,SH_STA_TRAFN,,NUMBER,2020,408
2016,SH_STA_TRAFN,,NUMBER,2020,604
2017,SH_STA_TRAFN,,NUMBER,2020,635
2018,SH_STA_TRAFN,,NUMBER,2020,612
2019,SH_STA_TRAFN,,NUMBER,2020,745
2020,SH_STA_TRAFN,,NUMBER,2020,877
