Year,SERIES,Reference area,Age,UNIT_MEASURE,Time period details,Value
2015,Proportion of children moderately or severely wasted [2.2.2],,under 5 years old,Percent,2019,7.8
2016,Proportion of children moderately or severely wasted [2.2.2],,under 5 years old,Percent,2019,7.1
2017,Proportion of children moderately or severely wasted [2.2.2],,under 5 years old,Percent,2019,9.0
2018,Proportion of children moderately or severely wasted [2.2.2],,under 5 years old,Percent,2019,7.8
2019,Proportion of children moderately or severely wasted [2.2.2],,under 5 years old,Percent,2019,8.1
