Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2017,Total per capita expenditure on cultural heritage preservation,,Franc CFA FCFA,2019,1459
2018,Total per capita expenditure on cultural heritage preservation,,Franc CFA FCFA,2019,1063
2019,Total per capita expenditure on cultural heritage preservation,,Franc CFA FCFA,2019,1382
