Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2015,_L_SN_0110701_1,,CITY,HA,2020,5
2016,_L_SN_0110701_1,,CITY,HA,2020,40
2017,_L_SN_0110701_1,,CITY,HA,2020,65
2018,_L_SN_0110701_1,,CITY,HA,2020,75
2019,_L_SN_0110701_1,,CITY,HA,2020,77
2020,_L_SN_0110701_1,,CITY,HA,2020,87
