Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Labour share of GDP [10.4.1],,Percent,2019,38.0
2016,Labour share of GDP [10.4.1],,Percent,2019,37.8
2017,Labour share of GDP [10.4.1],,Percent,2019,40.0
2018,Labour share of GDP [10.4.1],,Percent,2019,41.5
2019,Labour share of GDP [10.4.1],,Percent,2019,40.3
