Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Number of approved urban planning documents,,Number,2020,34
2016,Number of approved urban planning documents,,Number,2020,37
2017,Number of approved urban planning documents,,Number,2020,39
2018,Number of approved urban planning documents,,Number,2020,39
2019,Number of approved urban planning documents,,Number,2020,42
2020,Number of approved urban planning documents,,Number,2020,80
