Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Annual growth rate of real GDP per capita [8.1.1],,Percent,2021,3.01
2016,Annual growth rate of real GDP per capita [8.1.1],,Percent,2021,3.2
2017,Annual growth rate of real GDP per capita [8.1.1],,Percent,2021,4.3
2018,Annual growth rate of real GDP per capita [8.1.1],,Percent,2021,3.04
2019,Annual growth rate of real GDP per capita [8.1.1],,Percent,2021,1.5
2020,Annual growth rate of real GDP per capita [8.1.1],,Percent,2021,-1.7
2021,Annual growth rate of real GDP per capita [8.1.1],,Percent,2021,3.0
