Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,9,_L_SN_020a02_1,,CUR_LCU,2020,200.7
2016,A,9,_L_SN_020a02_1,,CUR_LCU,2020,246.8
2017,A,9,_L_SN_020a02_1,,CUR_LCU,2020,175.8
2018,A,9,_L_SN_020a02_1,,CUR_LCU,2020,281.5
2019,A,9,_L_SN_020a02_1,,CUR_LCU,2020,300.1
2020,A,9,_L_SN_020a02_1,,CUR_LCU,2020,200.0
