Indicator,Disaggregation combinations using this value
#14-5-1,1
#14-7-1,1
#15-2-1,1
#16-3-2,1
#17-1-1,1
#17-1-2,1
#17-2-1,1
#17-4-1,1
#2-1-2,1
#3-1-2,1
#3-3-1,1
#4-1-1,2
#4-1-2,3
#4-2-2,1
#4-3-1,2
#4-5-1,5
#4-a-1,12
#4-c-1,4
#5-5-2,2
#7-1-1,1
#7-2-1,1
#7-b-1,1
#8-1-1,1
#8-3-1,3
#8-5-2,1
#9-2-1,2
#9-2-2,1
