Indicator,Disaggregation combinations using this value
#10-5-1,1
#11-1-1,1
#11-3-2,1
#11-6-1,1
#11-6-2,2
#11-7-1,1
#15-1-1,1
#15-5-1,1
#16-2-2,1
#17-1-1,1
#17-2-1,2
#17-3-1,1
#2-1-1,1
#2-4-1,1
#2-a-1,1
#2-a-2,1
#3-1-1,1
#3-3-2,1
#3-6-1,1
#3-7-1,1
#3-8-1,1
#4-2-1,1
#5-5-1,4
#5-5-2,2
#5-6-1,2
#6-1-1,3
#6-2-1,3
#7-3-1,1
#8-10-1,2
#8-10-2,1
#8-2-1,1
#9-c-1,3
