Value,Disaggregation combinations using this value,Number of indicators
APDR_PROG,1,1
APDR_PROJ,1,1
RP_D,1,1
RP_HD,1,1
VI_CBV,1,1
VI_CONJ,1,1
VI_SEX,2,1
