Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-1,1
#10-1-1,1
#10-4-1,1
#10-4-2,1
#11-4-1,1
#16-9-1,6
#2-2-1,1
#2-2-2,1
#3-2-1,1
#3-2-2,1
#3-3-3,1
#3-7-2,1
#3-b-1,5
#5-2-1,3
#5-2-2,4
#5-3-1,2
#5-3-2,4
#7-1-1,1
