Indicator
#16-3-1
#16-9-1
#3-1-1
#3-7-1
#3-7-2
#3-b-1
#4-6-1
#5-2-1
#5-2-2
#5-3-1
#5-3-2
#5-5-1
#5-5-2
#5-6-1
#8-3-1
#9-2-2
