Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2015,SL_TLF_MANF_19ICLS,,,PT,2021,17.7
2016,SL_TLF_MANF_19ICLS,,,PT,2021,17.5
2019,SL_TLF_MANF_19ICLS,,,PT,2021,18.5
2020,SL_TLF_MANF_19ICLS,,,PT,2021,18.8
2021,SL_TLF_MANF_19ICLS,,,PT,2021,19.1
2018,SL_TLF_MANF_19ICLS,,F,PT,2018,18.1
2017,SL_TLF_MANF_19ICLS,,M,PT,2017,18.1
