Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2017,VC_VAW_MARR,,F,Y15T49,,PT,2019,15.1
2018,VC_VAW_MARR,,F,Y15T49,,PT,2019,10.7
2019,VC_VAW_MARR,,F,Y15T49,,PT,2019,9.3
2017,VC_VAW_MARR,,F,Y15T49,R,PT,2019,13.8
2018,VC_VAW_MARR,,F,Y15T49,R,PT,2019,10.4
2019,VC_VAW_MARR,,F,Y15T49,R,PT,2019,8.4
2017,VC_VAW_MARR,,F,Y15T49,U,PT,2019,17.1
2018,VC_VAW_MARR,,F,Y15T49,U,PT,2019,11.1
2019,VC_VAW_MARR,,F,Y15T49,U,PT,2019,10.4
