Year,SERIES,REF_AREA,AGE,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2019,SE_DEV_ONTRKWB,,Y0T5,ISCED11_01,PT,2020,10.11
2020,SE_DEV_ONTRKWB,,Y0T5,ISCED11_01,PT,2020,15.2
