Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,SI_POV_DAY1,,PT,2019,38.0
2019,A,0,SI_POV_DAY1,,PT,2019,32.6
