Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,SH_DYN_NMRT,,M0,PER_1000_LIVE_BIRTHS,2019,23
2016,SH_DYN_NMRT,,M0,PER_1000_LIVE_BIRTHS,2019,21
2017,SH_DYN_NMRT,,M0,PER_1000_LIVE_BIRTHS,2019,28
2018,SH_DYN_NMRT,,M0,PER_1000_LIVE_BIRTHS,2019,23
2019,SH_DYN_NMRT,,M0,PER_1000_LIVE_BIRTHS,2019,21
