Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2015,_L_SN_050601_1,,,PT,2020,21.2
2016,_L_SN_050601_1,,,PT,2020,23.1
2017,_L_SN_050601_1,,,PT,2020,26.3
2018,_L_SN_050601_1,,,PT,2020,25.4
2019,_L_SN_050601_1,,,PT,2020,25.5
2020,_L_SN_050601_1,,,PT,2020,26.0
2015,_L_SN_050601_1,,F,PT,2020,21.2
2016,_L_SN_050601_1,,F,PT,2020,23.1
2017,_L_SN_050601_1,,F,PT,2020,26.3
2018,_L_SN_050601_1,,F,PT,2020,25.4
2019,_L_SN_050601_1,,F,PT,2020,25.5
2020,_L_SN_050601_1,,F,PT,2020,26.0
