Year,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,_L_SN_0110302_1,,NUMBER,2020,34
2016,_L_SN_0110302_1,,NUMBER,2020,37
2017,_L_SN_0110302_1,,NUMBER,2020,39
2018,_L_SN_0110302_1,,NUMBER,2020,39
2019,_L_SN_0110302_1,,NUMBER,2020,42
2020,_L_SN_0110302_1,,NUMBER,2020,80
