Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2015,EN_REF_WASCOL,,CITY,PT,2020,70.0
2016,EN_REF_WASCOL,,CITY,PT,2020,73.0
2017,EN_REF_WASCOL,,CITY,PT,2020,80.0
2018,EN_REF_WASCOL,,CITY,PT,2020,84.5
2019,EN_REF_WASCOL,,CITY,PT,2020,84.9
2020,EN_REF_WASCOL,,CITY,PT,2020,86.5
