Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,SP_DYN_MRBF15,,F,Y20T24,PT,2019,8.5
2016,SP_DYN_MRBF15,,F,Y20T24,PT,2019,7.9
2017,SP_DYN_MRBF15,,F,Y20T24,PT,2019,8.4
2018,SP_DYN_MRBF15,,F,Y20T24,PT,2019,7.8
2019,SP_DYN_MRBF15,,F,Y20T24,PT,2019,8.799999999999999
2015,SP_DYN_MRBF18,,F,Y20T24,PT,2019,31.0
2016,SP_DYN_MRBF18,,F,Y20T24,PT,2019,31.5
2017,SP_DYN_MRBF18,,F,Y20T24,PT,2019,28.8
2018,SP_DYN_MRBF18,,F,Y20T24,PT,2019,25.5
2019,SP_DYN_MRBF18,,F,Y20T24,PT,2019,30.5
