Year,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,_L_SN_080902_2,,PT,2021,3.14
2016,_L_SN_080902_2,,PT,2021,3.33
2017,_L_SN_080902_2,,PT,2021,5.63
2018,_L_SN_080902_2,,PT,2021,2.7
2019,_L_SN_080902_2,,PT,2021,3.02
2020,_L_SN_080902_2,,PT,2021,-8.68
2021,_L_SN_080902_2,,PT,2021,3.14
