Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,SH_STA_WAST,,Y0T4,PT,2019,7.8
2016,SH_STA_WAST,,Y0T4,PT,2019,7.1
2017,SH_STA_WAST,,Y0T4,PT,2019,9.0
2018,SH_STA_WAST,,Y0T4,PT,2019,7.8
2019,SH_STA_WAST,,Y0T4,PT,2019,8.1
