Year,SERIES,Reference area,Age,UNIT_MEASURE,Time period details,Value
2015,Proportion of children moderately or severely stunted [2.2.1],,under 5 years old,Percent,2019,20.5
2016,Proportion of children moderately or severely stunted [2.2.1],,under 5 years old,Percent,2019,17.0
2017,Proportion of children moderately or severely stunted [2.2.1],,under 5 years old,Percent,2019,16.5
2018,Proportion of children moderately or severely stunted [2.2.1],,under 5 years old,Percent,2019,18.8
2019,Proportion of children moderately or severely stunted [2.2.1],,under 5 years old,Percent,2019,17.9
