Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Share of renewable energies in installed capacity,,Percent,2021,8.5
2016,Share of renewable energies in installed capacity,,Percent,2021,12.5
2017,Share of renewable energies in installed capacity,,Percent,2021,17.29
2018,Share of renewable energies in installed capacity,,Percent,2021,17.45
2019,Share of renewable energies in installed capacity,,Percent,2021,20.630000000000003
2020,Share of renewable energies in installed capacity,,Percent,2021,26.88
2021,Share of renewable energies in installed capacity,,Percent,2021,28.4
