Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Proportion of population below international poverty line [1.1.1],,Percent,2019,38.0
2019,Proportion of population below international poverty line [1.1.1],,Percent,2019,32.6
