Year,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,Nombre d’unités d’habitation,,NUMBER,2020,12560
2016,Nombre d’unités d’habitation,,NUMBER,2020,10008
2017,Nombre d’unités d’habitation,,NUMBER,2020,6179
2018,Nombre d’unités d’habitation,,NUMBER,2020,4742
2019,Nombre d’unités d’habitation,,NUMBER,2020,8861
2020,Nombre d’unités d’habitation,,NUMBER,2020,6626
