Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2015,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",,City,Percent,2020,70.0
2016,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",,City,Percent,2020,73.0
2017,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",,City,Percent,2020,80.0
2018,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",,City,Percent,2020,84.5
2019,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",,City,Percent,2020,84.9
2020,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",,City,Percent,2020,86.5
