Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,2021,8.21
2016,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,2021,8.49
2017,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,2021,9.83
2018,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,2021,14.3
2019,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,2021,11.58
2020,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,2021,19.63
2021,"Debt service as a proportion of exports of goods, services and primary income [17.4.1]",,Percent,2021,19.8
