Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,116.5
2016,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,126.4
2017,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,131.3
2018,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,140.4
2019,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,152.0
2020,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,139.6
2021,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,135.1
