Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Time period details,Value
2015,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,15 to 19 years old,"Per 1,000 population",2019,80
2016,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,15 to 19 years old,"Per 1,000 population",2019,72
2017,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,15 to 19 years old,"Per 1,000 population",2019,78
2018,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,15 to 19 years old,"Per 1,000 population",2019,68
2019,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]",,Female,15 to 19 years old,"Per 1,000 population",2019,71
