Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Budget allocated to the agricultural sector (billions of FCFA),,Local currency,2020,200.7
2016,Budget allocated to the agricultural sector (billions of FCFA),,Local currency,2020,246.8
2017,Budget allocated to the agricultural sector (billions of FCFA),,Local currency,2020,175.8
2018,Budget allocated to the agricultural sector (billions of FCFA),,Local currency,2020,281.5
2019,Budget allocated to the agricultural sector (billions of FCFA),,Local currency,2020,300.1
2020,Budget allocated to the agricultural sector (billions of FCFA),,Local currency,2020,200.0
