Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Average level of fine particles in Dakar - PM 2.5,,ug/m3,2020,35
2016,Average level of fine particles in Dakar - PM 2.5,,ug/m3,2020,25
2017,Average level of fine particles in Dakar - PM 2.5,,ug/m3,2020,21
2020,Average level of fine particles in Dakar - PM 2.5,,ug/m3,2020,38
2015,Average level of fine particles in Dakar - PM 10,,ug/m3,2020,160
2016,Average level of fine particles in Dakar - PM 10,,ug/m3,2020,140
2017,Average level of fine particles in Dakar - PM 10,,ug/m3,2020,448
2020,Average level of fine particles in Dakar - PM 10,,ug/m3,2020,151
