Year,SERIES,Reference area,Education level,UNIT_MEASURE,Time period details,Value
2015,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,16.7
2016,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,17.2
2017,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,17.4
2018,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,17.8
2019,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,17.6
2020,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,17.7
2021,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,17.7
