Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Forest area as a proportion of total land area [15.1.1],,Percent,2020,0.4294
2016,Forest area as a proportion of total land area [15.1.1],,Percent,2020,0.4274
2017,Forest area as a proportion of total land area [15.1.1],,Percent,2020,0.4253
2018,Forest area as a proportion of total land area [15.1.1],,Percent,2020,0.4232
2019,Forest area as a proportion of total land area [15.1.1],,Percent,2020,0.4211
2020,Forest area as a proportion of total land area [15.1.1],,Percent,2020,0.4191
